 secu_abbr chi_name listed_state secu_code secu_market listed_sector hs_code
51 华控赛格 深圳华控赛格股份有限公司 上市 000068 深圳证券交易所 主板 000068.SZ
52 华侨城Ａ 深圳华侨城股份有限公司 上市 000069 深圳证券交易所 主板 000069.SZ
53 特发信息 深圳市特发信息股份有限公司 上市 000070 深圳证券交易所 主板 000070.SZ
54 海王生物 深圳市海王生物工程股份有限公司 上市 000078 深圳证券交易所 主板 000078.SZ
55 "盐 田 港" 深圳市盐田港股份有限公司 上市 000088 深圳证券交易所 主板 000088.SZ
56 深圳机场 深圳市机场股份有限公司 上市 000089 深圳证券交易所 主板 000089.SZ
57 天健集团 深圳市天健(集团)股份有限公司 上市 000090 深圳证券交易所 主板 000090.SZ
58 广聚能源 深圳市广聚能源股份有限公司 上市 000096 深圳证券交易所 主板 000096.SZ
59 中信海直 中信海洋直升机股份有限公司 上市 000099 深圳证券交易所 主板 000099.SZ
60 "TCL 科技" TCL科技集团股份有限公司 上市 000100 深圳证券交易所 主板 000100.SZ
61 宜华健康 宜华健康医疗股份有限公司 上市 000150 深圳证券交易所 主板 000150.SZ
62 中成股份 中成进出口股份有限公司 上市 000151 深圳证券交易所 主板 000151.SZ
63 丰原药业 安徽丰原药业股份有限公司 上市 000153 深圳证券交易所 主板 000153.SZ
64 川能动力 四川省新能源动力股份有限公司 上市 000155 深圳证券交易所 主板 000155.SZ
65 华数传媒 华数传媒控股股份有限公司 上市 000156 深圳证券交易所 主板 000156.SZ
66 中联重科 中联重科股份有限公司 上市 000157 深圳证券交易所 主板 000157.SZ
67 常山北明 石家庄常山北明科技股份有限公司 上市 000158 深圳证券交易所 主板 000158.SZ
68 国际实业 新疆国际实业股份有限公司 上市 000159 深圳证券交易所 主板 000159.SZ
69 东方盛虹 江苏东方盛虹股份有限公司 上市 000301 深圳证券交易所 主板 000301.SZ
70 许继电气 许继电气股份有限公司 上市 000400 深圳证券交易所 主板 000400.SZ
71 冀东水泥 唐山冀东水泥股份有限公司 上市 000401 深圳证券交易所 主板 000401.SZ
72 "金 融 街" 金融街控股股份有限公司 上市 000402 深圳证券交易所 主板 000402.SZ
73 派林生物 派斯双林生物制药股份有限公司 上市 000403 深圳证券交易所 主板 000403.SZ
74 长虹华意 长虹华意压缩机股份有限公司 上市 000404 深圳证券交易所 主板 000404.SZ
75 胜利股份 山东胜利股份有限公司 上市 000407 深圳证券交易所 主板 000407.SZ
76 藏格矿业 藏格矿业股份有限公司 上市 000408 深圳证券交易所 主板 000408.SZ
77 云鼎科技 云鼎科技股份有限公司 上市 000409 深圳证券交易所 主板 000409.SZ
78 "ST 沈 机" 沈阳机床股份有限公司 上市 000410 深圳证券交易所 主板 000410.SZ
79 英特集团 浙江英特集团股份有限公司 上市 000411 深圳证券交易所 主板 000411.SZ
80 东旭光电 东旭光电科技股份有限公司 上市 000413 深圳证券交易所 主板 000413.SZ
81 渤海租赁 渤海租赁股份有限公司 上市 000415 深圳证券交易所 主板 000415.SZ
82 民生控股 民生控股股份有限公司 上市 000416 深圳证券交易所 主板 000416.SZ
83 合肥百货 合肥百货大楼集团股份有限公司 上市 000417 深圳证券交易所 主板 000417.SZ
84 通程控股 长沙通程控股股份有限公司 上市 000419 深圳证券交易所 主板 000419.SZ
85 吉林化纤 吉林化纤股份有限公司 上市 000420 深圳证券交易所 主板 000420.SZ
86 南京公用 南京公用发展股份有限公司 上市 000421 深圳证券交易所 主板 000421.SZ
87 湖北宜化 湖北宜化化工股份有限公司 上市 000422 深圳证券交易所 主板 000422.SZ
88 东阿阿胶 东阿阿胶股份有限公司 上市 000423 深圳证券交易所 主板 000423.SZ
89 徐工机械 徐工集团工程机械股份有限公司 上市 000425 深圳证券交易所 主板 000425.SZ
90 兴业矿业 内蒙古兴业矿业股份有限公司 上市 000426 深圳证券交易所 主板 000426.SZ
91 华天酒店 华天酒店集团股份有限公司 上市 000428 深圳证券交易所 主板 000428.SZ
92 粤高速Ａ 广东省高速公路发展股份有限公司 上市 000429 深圳证券交易所 主板 000429.SZ
93 "张 家 界" 张家界旅游集团股份有限公司 上市 000430 深圳证券交易所 主板 000430.SZ
94 晨鸣纸业 山东晨鸣纸业集团股份有限公司 上市 000488 深圳证券交易所 主板 000488.SZ
95 山东路桥 山东高速路桥集团股份有限公司 上市 000498 深圳证券交易所 主板 000498.SZ
96 鄂武商Ａ 武汉武商集团股份有限公司 上市 000501 深圳证券交易所 主板 000501.SZ
97 "*ST 绿景" 绿景控股股份有限公司 上市 000502 深圳证券交易所 主板 000502.SZ
98 国新健康 国新健康保障服务集团股份有限公司 上市 000503 深圳证券交易所 主板 000503.SZ
99 南华生物 南华生物医药股份有限公司 上市 000504 深圳证券交易所 主板 000504.SZ
100 京粮控股 海南京粮控股股份有限公司 上市 000505 深圳证券交易所 主板 000505.SZ
101 中润资源 中润资源投资股份有限公司 上市 000506 深圳证券交易所 主板 000506.SZ
102 "珠 海 港" 珠海港股份有限公司 上市 000507 深圳证券交易所 主板 000507.SZ
103 "*ST 华塑" 华塑控股股份有限公司 上市 000509 深圳证券交易所 主板 000509.SZ
104 "新 金 路" 四川新金路集团股份有限公司 上市 000510 深圳证券交易所 主板 000510.SZ
105 丽珠集团 丽珠医药集团股份有限公司 上市 000513 深圳证券交易所 主板 000513.SZ
106 "渝 开 发" 重庆渝开发股份有限公司 上市 000514 深圳证券交易所 主板 000514.SZ
107 国际医学 西安国际医学投资股份有限公司 上市 000516 深圳证券交易所 主板 000516.SZ
108 荣安地产 荣安地产股份有限公司 上市 000517 深圳证券交易所 主板 000517.SZ
109 四环生物 江苏四环生物股份有限公司 上市 000518 深圳证券交易所 主板 000518.SZ
110 中兵红箭 中兵红箭股份有限公司 上市 000519 深圳证券交易所 主板 000519.SZ
111 长航凤凰 长航凤凰股份有限公司 上市 000520 深圳证券交易所 主板 000520.SZ
112 长虹美菱 长虹美菱股份有限公司 上市 000521 深圳证券交易所 主板 000521.SZ
113 "*ST 浪奇" 广州市浪奇实业股份有限公司 上市 000523 深圳证券交易所 主板 000523.SZ
114 岭南控股 广州岭南集团控股股份有限公司 上市 000524 深圳证券交易所 主板 000524.SZ
115 ST红太阳 南京红太阳股份有限公司 上市 000525 深圳证券交易所 主板 000525.SZ
116 学大教育 学大(厦门)教育科技集团股份有限公司 上市 000526 深圳证券交易所 主板 000526.SZ
117 "柳    工" 广西柳工机械股份有限公司 上市 000528 深圳证券交易所 主板 000528.SZ
118 广弘控股 广东广弘控股股份有限公司 上市 000529 深圳证券交易所 主板 000529.SZ
119 冰山冷热 冰山冷热科技股份有限公司 上市 000530 深圳证券交易所 主板 000530.SZ
120 穗恒运Ａ 广州恒运企业集团股份有限公司 上市 000531 深圳证券交易所 主板 000531.SZ
121 华金资本 珠海华金资本股份有限公司 上市 000532 深圳证券交易所 主板 000532.SZ
122 顺钠股份 广东顺钠电气股份有限公司 上市 000533 深圳证券交易所 主板 000533.SZ
123 万泽股份 万泽实业股份有限公司 上市 000534 深圳证券交易所 主板 000534.SZ
124 华映科技 华映科技(集团)股份有限公司 上市 000536 深圳证券交易所 主板 000536.SZ
125 广宇发展 天津广宇发展股份有限公司 上市 000537 深圳证券交易所 主板 000537.SZ
126 云南白药 云南白药集团股份有限公司 上市 000538 深圳证券交易所 主板 000538.SZ
127 粤电力Ａ 广东电力发展股份有限公司 上市 000539 深圳证券交易所 主板 000539.SZ
128 中天金融 中天金融集团股份有限公司 上市 000540 深圳证券交易所 主板 000540.SZ
129 佛山照明 佛山电器照明股份有限公司 上市 000541 深圳证券交易所 主板 000541.SZ
130 皖能电力 安徽省皖能股份有限公司 上市 000543 深圳证券交易所 主板 000543.SZ
131 中原环保 中原环保股份有限公司 上市 000544 深圳证券交易所 主板 000544.SZ
132 金浦钛业 金浦钛业股份有限公司 上市 000545 深圳证券交易所 主板 000545.SZ
133 金圆股份 金圆环保股份有限公司 上市 000546 深圳证券交易所 主板 000546.SZ
134 航天发展 航天工业发展股份有限公司 上市 000547 深圳证券交易所 主板 000547.SZ
135 湖南投资 湖南投资集团股份有限公司 上市 000548 深圳证券交易所 主板 000548.SZ
136 江铃汽车 江铃汽车股份有限公司 上市 000550 深圳证券交易所 主板 000550.SZ
137 创元科技 创元科技股份有限公司 上市 000551 深圳证券交易所 主板 000551.SZ
138 靖远煤电 甘肃靖远煤电股份有限公司 上市 000552 深圳证券交易所 主板 000552.SZ
139 安道麦Ａ 安道麦股份有限公司 上市 000553 深圳证券交易所 主板 000553.SZ
140 泰山石油 中国石化山东泰山石油股份有限公司 上市 000554 深圳证券交易所 主板 000554.SZ
141 神州信息 神州数码信息服务股份有限公司 上市 000555 深圳证券交易所 主板 000555.SZ
142 "粤 传 媒" 广东广州日报传媒股份有限公司 上市 002181 深圳证券交易所 主板 002181.SZ
143 浦发银行 上海浦东发展银行股份有限公司 上市 600000 上海证券交易所 主板 600000.SH
144 白云机场 广州白云国际机场股份有限公司 上市 600004 上海证券交易所 主板 600004.SH
145 东风汽车 东风汽车股份有限公司 上市 600006 上海证券交易所 主板 600006.SH
146 中国国贸 中国国际贸易中心股份有限公司 上市 600007 上海证券交易所 主板 600007.SH
147 首创环保 北京首创生态环保集团股份有限公司 上市 600008 上海证券交易所 主板 600008.SH
148 上海机场 上海国际机场股份有限公司 上市 600009 上海证券交易所 主板 600009.SH
149 包钢股份 内蒙古包钢钢联股份有限公司 上市 600010 上海证券交易所 主板 600010.SH
150 华能国际 华能国际电力股份有限公司 上市 600011 上海证券交易所 主板 600011.SH
151 皖通高速 安徽皖通高速公路股份有限公司 上市 600012 上海证券交易所 主板 600012.SH
152 华夏银行 华夏银行股份有限公司 上市 600015 上海证券交易所 主板 600015.SH
153 民生银行 中国民生银行股份有限公司 上市 600016 上海证券交易所 主板 600016.SH
154 宝钢股份 宝山钢铁股份有限公司 上市 600019 上海证券交易所 主板 600019.SH
155 中原高速 河南中原高速公路股份有限公司 上市 600020 上海证券交易所 主板 600020.SH
156 上海电力 上海电力股份有限公司 上市 600021 上海证券交易所 主板 600021.SH
157 中远海能 中远海运能源运输股份有限公司 上市 600026 上海证券交易所 主板 600026.SH
158 中国石化 中国石油化工股份有限公司 上市 600028 上海证券交易所 主板 600028.SH
159 南方航空 中国南方航空股份有限公司 上市 600029 上海证券交易所 主板 600029.SH
160 中信证券 中信证券股份有限公司 上市 600030 上海证券交易所 主板 600030.SH
161 三一重工 三一重工股份有限公司 上市 600031 上海证券交易所 主板 600031.SH
162 福建高速 福建发展高速公路股份有限公司 上市 600033 上海证券交易所 主板 600033.SH
163 楚天高速 湖北楚天智能交通股份有限公司 上市 600035 上海证券交易所 主板 600035.SH
164 招商银行 招商银行股份有限公司 上市 600036 上海证券交易所 主板 600036.SH
165 歌华有线 北京歌华有线电视网络股份有限公司 上市 600037 上海证券交易所 主板 600037.SH
166 中直股份 中航直升机股份有限公司 上市 600038 上海证券交易所 主板 600038.SH
167 四川路桥 四川路桥建设集团股份有限公司 上市 600039 上海证券交易所 主板 600039.SH
168 中国联通 中国联合网络通信股份有限公司 上市 600050 上海证券交易所 主板 600050.SH
169 宁波联合 宁波联合集团股份有限公司 上市 600051 上海证券交易所 主板 600051.SH
170 浙江广厦 浙江东望时代科技股份有限公司 上市 600052 上海证券交易所 主板 600052.SH
171 九鼎投资 昆吾九鼎投资控股股份有限公司 上市 600053 上海证券交易所 主板 600053.SH
172 黄山旅游 黄山旅游发展股份有限公司 上市 600054 上海证券交易所 主板 600054.SH
173 万东医疗 北京万东医疗科技股份有限公司 上市 600055 上海证券交易所 主板 600055.SH
174 中国医药 中国医药健康产业股份有限公司 上市 600056 上海证券交易所 主板 600056.SH
175 厦门象屿 厦门象屿股份有限公司 上市 600057 上海证券交易所 主板 600057.SH
176 五矿发展 五矿发展股份有限公司 上市 600058 上海证券交易所 主板 600058.SH
177 古越龙山 浙江古越龙山绍兴酒股份有限公司 上市 600059 上海证券交易所 主板 600059.SH
178 海信视像 海信视像科技股份有限公司 上市 600060 上海证券交易所 主板 600060.SH
179 国投资本 国投资本股份有限公司 上市 600061 上海证券交易所 主板 600061.SH
180 华润双鹤 华润双鹤药业股份有限公司 上市 600062 上海证券交易所 主板 600062.SH
181 皖维高新 安徽皖维高新材料股份有限公司 上市 600063 上海证券交易所 主板 600063.SH
182 南京高科 南京高科股份有限公司 上市 600064 上海证券交易所 主板 600064.SH
183 宇通客车 宇通客车股份有限公司 上市 600066 上海证券交易所 主板 600066.SH
184 冠城大通 冠城大通股份有限公司 上市 600067 上海证券交易所 主板 600067.SH
185 浙江富润 浙江富润数字科技股份有限公司 上市 600070 上海证券交易所 主板 600070.SH
186 凤凰光学 凤凰光学股份有限公司 上市 600071 上海证券交易所 主板 600071.SH
187 中船科技 中船科技股份有限公司 上市 600072 上海证券交易所 主板 600072.SH
188 上海梅林 上海梅林正广和股份有限公司 上市 600073 上海证券交易所 主板 600073.SH
189 新疆天业 新疆天业股份有限公司 上市 600075 上海证券交易所 主板 600075.SH
190 康欣新材 康欣新材料股份有限公司 上市 600076 上海证券交易所 主板 600076.SH
191 宋都股份 宋都基业投资股份有限公司 上市 600077 上海证券交易所 主板 600077.SH
192 "*ST 澄星" 江苏澄星磷化工股份有限公司 上市 600078 上海证券交易所 主板 600078.SH
193 人福医药 人福医药集团股份公司 上市 600079 上海证券交易所 主板 600079.SH
194 金花股份 金花企业(集团)股份有限公司 上市 600080 上海证券交易所 主板 600080.SH
195 东风科技 东风电子科技股份有限公司 上市 600081 上海证券交易所 主板 600081.SH
196 海泰发展 天津海泰科技发展股份有限公司 上市 600082 上海证券交易所 主板 600082.SH
197 "*ST 博信" 江苏博信投资控股股份有限公司 上市 600083 上海证券交易所 主板 600083.SH
198 "*ST 中葡" 中信国安葡萄酒业股份有限公司 上市 600084 上海证券交易所 主板 600084.SH
199 "同 仁 堂" 北京同仁堂股份有限公司 上市 600085 上海证券交易所 主板 600085.SH
200 中视传媒 中视传媒股份有限公司 上市 600088 上海证券交易所 主板 600088.SH
201 特变电工 特变电工股份有限公司 上市 600089 上海证券交易所 主板 600089.SH
202 "*ST 济堂" 新疆同济堂健康产业股份有限公司 上市 600090 上海证券交易所 主板 600090.SH
203 "*ST 明科" 包头明天科技股份有限公司 上市 600091 上海证券交易所 主板 600091.SH
204 "*ST 易见" 易见供应链管理股份有限公司 上市 600093 上海证券交易所 主板 600093.SH
205 "大 名 城" 上海大名城企业股份有限公司 上市 600094 上海证券交易所 主板 600094.SH
206 湘财股份 湘财股份有限公司 上市 600095 上海证券交易所 主板 600095.SH
207 "云 天 化" 云南云天化股份有限公司 上市 600096 上海证券交易所 主板 600096.SH
208 开创国际 上海开创国际海洋资源股份有限公司 上市 600097 上海证券交易所 主板 600097.SH
209 广州发展 广州发展集团股份有限公司 上市 600098 上海证券交易所 主板 600098.SH
210 林海股份 林海股份有限公司 上市 600099 上海证券交易所 主板 600099.SH
211 西部创业 宁夏西部创业实业股份有限公司 上市 000557 深圳证券交易所 主板 000557.SZ
212 莱茵体育 莱茵达体育发展股份有限公司 上市 000558 深圳证券交易所 主板 000558.SZ
213 万向钱潮 万向钱潮股份有限公司 上市 000559 深圳证券交易所 主板 000559.SZ
214 我爱我家 我爱我家控股集团股份有限公司 上市 000560 深圳证券交易所 主板 000560.SZ
215 烽火电子 陕西烽火电子股份有限公司 上市 000561 深圳证券交易所 主板 000561.SZ
216 陕国投Ａ 陕西省国际信托股份有限公司 上市 000563 深圳证券交易所 主板 000563.SZ
217 "*ST 大集" 供销大集集团股份有限公司 上市 000564 深圳证券交易所 主板 000564.SZ
218 渝三峡Ａ 重庆三峡油漆股份有限公司 上市 000565 深圳证券交易所 主板 000565.SZ
219 海南海药 海南海药股份有限公司 上市 000566 深圳证券交易所 主板 000566.SZ
220 海德股份 海南海德资本管理股份有限公司 上市 000567 深圳证券交易所 主板 000567.SZ
221 泸州老窖 泸州老窖股份有限公司 上市 000568 深圳证券交易所 主板 000568.SZ
222 苏常柴Ａ 常柴股份有限公司 上市 000570 深圳证券交易所 主板 000570.SZ
223 "ST 大 洲" 新大洲控股股份有限公司 上市 000571 深圳证券交易所 主板 000571.SZ
224 海马汽车 海马汽车股份有限公司 上市 000572 深圳证券交易所 主板 000572.SZ
225 粤宏远Ａ 东莞宏远工业区股份有限公司 上市 000573 深圳证券交易所 主板 000573.SZ
226 甘化科工 广东甘化科工股份有限公司 上市 000576 深圳证券交易所 主板 000576.SZ
227 威孚高科 无锡威孚高科技集团股份有限公司 上市 000581 深圳证券交易所 主板 000581.SZ
228 北部湾港 北部湾港股份有限公司 上市 000582 深圳证券交易所 主板 000582.SZ
229 哈工智能 江苏哈工智能机器人股份有限公司 上市 000584 深圳证券交易所 主板 000584.SZ
230 "*ST 东电" 东北电气发展股份有限公司 上市 000585 深圳证券交易所 主板 000585.SZ
231 汇源通信 四川汇源光通信股份有限公司 上市 000586 深圳证券交易所 主板 000586.SZ
232 "*ST 金洲" 金洲慈航集团股份有限公司 上市 000587 深圳证券交易所 主板 000587.SZ
233 贵州轮胎 贵州轮胎股份有限公司 上市 000589 深圳证券交易所 主板 000589.SZ
234 启迪药业 启迪药业集团股份公司 上市 000590 深圳证券交易所 主板 000590.SZ
235 "太 阳 能" 中节能太阳能股份有限公司 上市 000591 深圳证券交易所 主板 000591.SZ
236 平潭发展 中福海峡(平潭)发展股份有限公司 上市 000592 深圳证券交易所 主板 000592.SZ
237 大通燃气 四川大通燃气开发股份有限公司 上市 000593 深圳证券交易所 主板 000593.SZ
238 宝塔实业 宝塔实业股份有限公司 上市 000595 深圳证券交易所 主板 000595.SZ
239 古井贡酒 安徽古井贡酒股份有限公司 上市 000596 深圳证券交易所 主板 000596.SZ
240 东北制药 东北制药集团股份有限公司 上市 000597 深圳证券交易所 主板 000597.SZ
241 兴蓉环境 成都市兴蓉环境股份有限公司 上市 000598 深圳证券交易所 主板 000598.SZ
242 青岛双星 青岛双星股份有限公司 上市 000599 深圳证券交易所 主板 000599.SZ
243 建投能源 河北建投能源投资股份有限公司 上市 000600 深圳证券交易所 主板 000600.SZ
244 韶能股份 广东韶能集团股份有限公司 上市 000601 深圳证券交易所 主板 000601.SZ
245 盛达资源 盛达金属资源股份有限公司 上市 000603 深圳证券交易所 主板 000603.SZ
246 渤海股份 渤海水业股份有限公司 上市 000605 深圳证券交易所 主板 000605.SZ
247 "ST 顺 利" 顺利办信息服务股份有限公司 上市 000606 深圳证券交易所 主板 000606.SZ
248 华媒控股 浙江华媒控股股份有限公司 上市 000607 深圳证券交易所 主板 000607.SZ
249 阳光股份 阳光新业地产股份有限公司 上市 000608 深圳证券交易所 主板 000608.SZ
250 "*ST 中迪" 北京中迪投资股份有限公司 上市 000609 深圳证券交易所 主板 000609.SZ
251 西安旅游 西安旅游股份有限公司 上市 000610 深圳证券交易所 主板 000610.SZ
252 "*ST 天首" 内蒙古天首科技发展股份有限公司 上市 000611 深圳证券交易所 主板 000611.SZ
253 焦作万方 焦作万方铝业股份有限公司 上市 000612 深圳证券交易所 主板 000612.SZ
254 *ST东海A 海南大东海旅游中心股份有限公司 上市 000613 深圳证券交易所 主板 000613.SZ
255 奥园美谷 奥园美谷科技股份有限公司 上市 000615 深圳证券交易所 主板 000615.SZ
256 "ST 海 投" 海航投资集团股份有限公司 上市 000616 深圳证券交易所 主板 000616.SZ
257 中油资本 中国石油集团资本股份有限公司 上市 000617 深圳证券交易所 主板 000617.SZ
258 海螺型材 芜湖海螺型材科技股份有限公司 上市 000619 深圳证券交易所 主板 000619.SZ
259 "新 华 联" 新华联文化旅游发展股份有限公司 上市 000620 深圳证券交易所 主板 000620.SZ
260 恒立实业 恒立实业发展集团股份有限公司 上市 000622 深圳证券交易所 主板 000622.SZ
261 吉林敖东 吉林敖东药业集团股份有限公司 上市 000623 深圳证券交易所 主板 000623.SZ
262 长安汽车 重庆长安汽车股份有限公司 上市 000625 深圳证券交易所 主板 000625.SZ
263 远大控股 远大产业控股股份有限公司 上市 000626 深圳证券交易所 主板 000626.SZ
264 天茂集团 天茂实业集团股份有限公司 上市 000627 深圳证券交易所 主板 000627.SZ
265 高新发展 成都高新发展股份有限公司 上市 000628 深圳证券交易所 主板 000628.SZ
266 攀钢钒钛 攀钢集团钒钛资源股份有限公司 上市 000629 深圳证券交易所 主板 000629.SZ
267 铜陵有色 铜陵有色金属集团股份有限公司 上市 000630 深圳证券交易所 主板 000630.SZ
268 顺发恒业 顺发恒业股份公司 上市 000631 深圳证券交易所 主板 000631.SZ
269 三木集团 福建三木集团股份有限公司 上市 000632 深圳证券交易所 主板 000632.SZ
270 合金投资 新疆合金投资股份有限公司 上市 000633 深圳证券交易所 主板 000633.SZ
271 "英 力 特" 宁夏英力特化工股份有限公司 上市 000635 深圳证券交易所 主板 000635.SZ
272 风华高科 广东风华高新科技股份有限公司 上市 000636 深圳证券交易所 主板 000636.SZ
273 茂化实华 茂名石化实华股份有限公司 上市 000637 深圳证券交易所 主板 000637.SZ
274 "*ST 万方" 万方城镇投资发展股份有限公司 上市 000638 深圳证券交易所 主板 000638.SZ
275 西王食品 西王食品股份有限公司 上市 000639 深圳证券交易所 主板 000639.SZ
276 仁和药业 仁和药业股份有限公司 上市 000650 深圳证券交易所 主板 000650.SZ
277 格力电器 珠海格力电器股份有限公司 上市 000651 深圳证券交易所 主板 000651.SZ
278 泰达股份 天津泰达股份有限公司 上市 000652 深圳证券交易所 主板 000652.SZ
279 金岭矿业 山东金岭矿业股份有限公司 上市 000655 深圳证券交易所 主板 000655.SZ
280 金科股份 金科地产集团股份有限公司 上市 000656 深圳证券交易所 主板 000656.SZ
281 航天晨光 航天晨光股份有限公司 上市 600501 上海证券交易所 主板 600501.SH
282 安徽建工 安徽建工集团股份有限公司 上市 600502 上海证券交易所 主板 600502.SH
283 华丽家族 华丽家族股份有限公司 上市 600503 上海证券交易所 主板 600503.SH
284 西昌电力 四川西昌电力股份有限公司 上市 600505 上海证券交易所 主板 600505.SH
285 "*ST 香梨" 新疆库尔勒香梨股份有限公司 上市 600506 上海证券交易所 主板 600506.SH
286 方大特钢 方大特钢科技股份有限公司 上市 600507 上海证券交易所 主板 600507.SH
287 上海能源 上海大屯能源股份有限公司 上市 600508 上海证券交易所 主板 600508.SH
288 天富能源 新疆天富能源股份有限公司 上市 600509 上海证券交易所 主板 600509.SH
289 "黑 牡 丹" 黑牡丹(集团)股份有限公司 上市 600510 上海证券交易所 主板 600510.SH
290 国药股份 国药集团药业股份有限公司 上市 600511 上海证券交易所 主板 600511.SH
291 腾达建设 腾达建设集团股份有限公司 上市 600512 上海证券交易所 主板 600512.SH
292 联环药业 江苏联环药业股份有限公司 上市 600513 上海证券交易所 主板 600513.SH
